Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,00-0000,"Total, All Occupations",9108930,77445,54276,34849,98743
1,36,New York State,11-0000,Management Occupations,567480,173530,142285,77836,221378
1,36,New York State,11-1011,Chief Executives,4910,330808,233777,126304,433060
1,36,New York State,11-1021,General and Operations Managers,212710,160384,126364,64477,208338
1,36,New York State,11-1031,Legislators,4530,110711,99645,50788,140674
1,36,New York State,11-2011,Advertising and Promotions Managers,5000,198102,173901,111185,241561
1,36,New York State,11-2021,Marketing Managers,34990,194006,175914,111990,235013
1,36,New York State,11-2022,Sales Managers,28870,235971,211564,120057,293928
1,36,New York State,11-2032,Public Relations Managers,5710,186797,173561,105985,227202
1,36,New York State,11-2033,Fundraising Managers,3070,175126,169612,106638,209371
1,36,New York State,11-3012,Administrative Services Managers,11730,149725,132988,91402,178886
1,36,New York State,11-3013,Facilities Managers,7880,129048,119802,76469,155339
1,36,New York State,11-3021,Computer and Information Systems Managers,34080,221948,201791,133855,265994
1,36,New York State,11-3031,Financial Managers,55560,232689,216135,127335,285366
1,36,New York State,11-3051,Industrial Production Managers,5840,141964,129002,83635,171127
1,36,New York State,11-3061,Purchasing Managers,4070,175176,161567,106062,209733
1,36,New York State,11-3071,"Transportation, Storage, and Distribution Managers",4880,131529,122415,80947,156820
1,36,New York State,11-3111,Compensation and Benefits Managers,1520,193065,175679,122540,228327
1,36,New York State,11-3121,Human Resources Managers,12090,194118,173169,109155,236600
1,36,New York State,11-3131,Training and Development Managers,2810,188773,174483,116367,224976
1,36,New York State,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,82286,69594,48831,99015
1,36,New York State,11-9021,Construction Managers,6310,151915,128656,86120,184814
1,36,New York State,11-9031,"Education Administrators, Preschool and Childcare Center/Program",3820,72753,66347,44462,86899
1,36,New York State,11-9032,"Education Administrators, Elementary and Secondary School",19010,145647,137230,95269,170837
1,36,New York State,11-9033,"Education Administrators, Postsecondary",5640,171712,140013,103635,205752
1,36,New York State,11-9039,"Education Administrators, All Other",2330,118074,105128,66242,143989
1,36,New York State,11-9041,Architectural and Engineering Managers,6000,176789,169583,121137,204614
1,36,New York State,11-9051,Food Service Managers,16670,83785,78323,54148,98604
1,36,New York State,11-9071,Gaming Managers,,115961,111930,83784,132050
1,36,New York State,11-9072,"Entertainment and Recreation Managers, Except Gambling",250,100289,95832,56301,122284
1,36,New York State,11-9081,Lodging Managers,3000,96634,78161,54283,117810
1,36,New York State,11-9111,Medical and Health Services Managers,25430,175024,140752,93508,215783
1,36,New York State,11-9121,Natural Sciences Managers,2870,191781,170162,110228,232557
1,36,New York State,11-9131,Postmasters and Mail Superintendents,800,87052,84428,76470,92343
1,36,New York State,11-9141,"Property, Real Estate, and Community Association Managers",,112717,94712,53495,142329
1,36,New York State,11-9151,Social and Community Service Managers,12660,97972,86348,65531,114192
1,36,New York State,11-9161,Emergency Management Directors,520,103149,87023,65592,121928
1,36,New York State,11-9171,Funeral Home Managers,720,92824,82006,51955,113258
1,36,New York State,11-9179,"Personal Service Managers, All Other",270,89445,77638,55339,106498
1,36,New York State,11-9199,"Managers, All Other",12200,160667,137752,83777,199112
1,36,New York State,13-0000,Business and Financial Operations Occupations,703670,109273,95916,58554,134633
1,36,New York State,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2260,123466,82997,62015,154191
1,36,New York State,13-1020,Buyers and Purchasing Agents,26480,82995,78956,52062,98461
1,36,New York State,13-1031,"Claims Adjusters, Examiners, and Investigators",16970,85533,81476,56123,100238
1,36,New York State,13-1032,"Insurance Appraisers, Auto Damage",440,92558,87157,71741,102966
1,36,New York State,13-1041,Compliance Officers,21130,88798,81963,54091,106152
1,36,New York State,13-1051,Cost Estimators,10790,84641,78196,49377,102272
1,36,New York State,13-1071,Human Resources Specialists,53940,86863,79556,51540,104524
1,36,New York State,13-1075,Labor Relations Specialists,6180,101161,100227,57987,122749
1,36,New York State,13-1081,Logisticians,5390,88629,81744,58221,103833
1,36,New York State,13-1082,Project Management Specialists,63090,119346,107817,70820,143610
1,36,New York State,13-1111,Management Analysts,57260,123125,106136,70201,149587
1,36,New York State,13-1121,"Meeting, Convention, and Event Planners",9650,78168,66159,44412,95045
1,36,New York State,13-1131,Fundraisers,13610,82951,77434,49784,99534
1,36,New York State,13-1141,"Compensation, Benefits, and Job Analysis Specialists",7570,86413,82632,56226,101507
1,36,New York State,13-1151,Training and Development Specialists,22990,80318,72864,41220,99866
1,36,New York State,13-1161,Market Research Analysts and Marketing Specialists,83000,96006,84300,54058,116980
1,36,New York State,13-1199,"Business Operations Specialists, All Other",35060,90370,81421,53020,109045
1,36,New York State,13-2011,Accountants and Auditors,118870,112506,101055,64224,136647
1,36,New York State,13-2020,Appraisers and Assessors of Real Estate,3030,88030,78335,48930,107580
1,36,New York State,13-2031,Budget Analysts,3120,98142,89361,67618,113403
1,36,New York State,13-2041,Credit Analysts,7520,141936,131946,76376,174716
1,36,New York State,13-2051,Financial Analysts,46720,143681,126409,81804,174619
1,36,New York State,13-2052,Personal Financial Advisors,26800,207099,170312,78312,271493
1,36,New York State,13-2053,Insurance Underwriters,7910,106749,100483,64396,127925
1,36,New York State,13-2054,Financial Risk Specialists,11270,155118,137312,90398,187479
1,36,New York State,13-2061,Financial Examiners,11580,126878,108866,68730,155952
1,36,New York State,13-2071,Credit Counselors,1710,65544,60586,45440,75596
1,36,New York State,13-2072,Loan Officers,13850,106928,83232,50766,135008
1,36,New York State,13-2081,"Tax Examiners and Collectors, and Revenue Agents",3590,78029,67839,52703,90692
1,36,New York State,13-2082,Tax Preparers,7590,71486,64986,40356,87052
1,36,New York State,13-2099,"Financial Specialists, All Other",4290,114197,92372,59130,141730
1,36,New York State,15-0000,Computer and Mathematical Occupations,284680,121672,110454,65381,149818
1,36,New York State,15-1211,Computer Systems Analysts,20810,118979,109737,74082,141427
1,36,New York State,15-1212,Information Security Analysts,7260,144063,138214,85300,173445
1,36,New York State,15-1221,Computer and Information Research Scientists,720,155732,145911,92818,187188
1,36,New York State,15-1231,Computer Network Support Specialists,8980,87371,81557,54653,103730
1,36,New York State,15-1232,Computer User Support Specialists,38230,72895,66609,46088,86299
1,36,New York State,15-1241,Computer Network Architects,10510,144383,140024,91149,171000
1,36,New York State,15-1242,Database Administrators,4310,113342,107999,65163,137432
1,36,New York State,15-1243,Database Architects,3860,142675,143183,88584,169721
1,36,New York State,15-1244,Network and Computer Systems Administrators,22100,112307,106600,71192,132864
1,36,New York State,15-1251,Computer Programmers,10130,113126,105195,71708,133836
1,36,New York State,15-1252,Software Developers,92040,146551,140280,88508,175572
1,36,New York State,15-1253,Software Quality Assurance Analysts and Testers,13070,122677,107336,75875,146077
1,36,New York State,15-1254,Web Developers,8070,84318,73154,35256,108849
1,36,New York State,15-1255,Web and Digital Interface Designers,9050,122375,110547,65289,150918
1,36,New York State,15-1299,"Computer Occupations, All Other",10730,103623,85459,55185,127842
1,36,New York State,15-2011,Actuaries,2580,160624,142358,82224,199824
1,36,New York State,15-2021,Mathematicians,,136993,112274,79998,165490
1,36,New York State,15-2031,Operations Research Analysts,6040,112426,100329,64087,136595
1,36,New York State,15-2041,Statisticians,1220,143134,115608,75599,176902
1,36,New York State,15-2051,Data Scientists,14760,133123,128795,73348,163012
1,36,New York State,15-2099,"Mathematical Science Occupations, All Other",,91339,70963,46161,113927
1,36,New York State,17-0000,Architecture and Engineering Occupations,100120,98125,86428,59428,117473
1,36,New York State,17-1011,"Architects, Except Landscape and Naval",10370,107094,100003,68348,126467
1,36,New York State,17-1012,Landscape Architects,1140,102014,101847,65719,120162
1,36,New York State,17-1021,Cartographers and Photogrammetrists,290,68771,64580,49520,78398
1,36,New York State,17-1022,Surveyors,1500,93104,80615,56014,111648
1,36,New York State,17-2011,Aerospace Engineers,490,119540,114485,92239,133190
1,36,New York State,17-2021,Agricultural Engineers,,95681,106738,64517,111263
1,36,New York State,17-2031,Biomedical Engineers,780,116736,109144,74195,138006
1,36,New York State,17-2041,Chemical Engineers,780,118276,110300,63970,145429
1,36,New York State,17-2051,Civil Engineers,15870,105122,101994,65506,124931
