ID,Year,Area code,Area name,SOC code,Occupational title,Employment,Average wage,25th Percentile,50th Percentile,75th Percentile,Annual wage
1,2022,000053,Washington,11-1011,Chief Executives,2992,134.42,82.20,,,279590.00
2,2022,000053,Washington,11-1021,General and Operations Managers,48024,64.76,40.08,57.43,78.74,134690.00
3,2022,000053,Washington,11-1031,Legislators,1318,,,,,119380.00
4,2022,000053,Washington,11-2011,Advertising and Promotions Managers,240,71.80,58.00,63.59,77.91,149340.00
5,2022,000053,Washington,11-2021,Marketing Managers,6621,78.38,55.91,73.25,99.20,163040.00
6,2022,000053,Washington,11-2022,Sales Managers,9261,77.62,57.76,74.32,99.93,161450.00
7,2022,000053,Washington,11-2032,Public Relations Managers,1290,70.25,48.76,62.01,80.73,146120.00
8,2022,000053,Washington,11-2033,Fundraising Managers,658,64.70,47.51,57.73,77.49,134570.00
9,2022,000053,Washington,11-3012,Administrative Services Managers,1836,65.18,47.91,61.24,77.66,135580.00
10,2022,000053,Washington,11-3013,Facilities Managers,1970,56.01,44.38,54.34,63.24,116490.00
11,2022,000053,Washington,11-3021,Computer and Information Systems Managers,13722,85.64,63.64,79.09,99.97,178130.00
12,2022,000053,Washington,11-3031,Financial Managers,11468,78.71,57.71,73.13,98.61,163720.00
13,2022,000053,Washington,11-3051,Industrial Production Managers,,62.11,47.51,60.76,69.89,129180.00
14,2022,000053,Washington,11-3061,Purchasing Managers,1877,70.92,59.87,63.28,78.66,147510.00
15,2022,000053,Washington,11-3071,"Transportation, Storage, and Distribution Managers",2906,53.59,38.69,49.70,61.38,111470.00
16,2022,000053,Washington,11-3111,Compensation and Benefits Managers,259,74.73,59.74,72.74,91.37,155440.00
17,2022,000053,Washington,11-3121,Human Resources Managers,3702,72.90,56.80,66.65,81.09,151620.00
18,2022,000053,Washington,11-3131,Training and Development Managers,620,66.08,48.19,61.02,78.23,137450.00
19,2022,000053,Washington,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",101,37.36,24.31,33.56,39.23,77700.00
20,2022,000053,Washington,11-9021,Construction Managers,10495,54.22,41.07,49.38,62.86,112770.00
21,2022,000053,Washington,11-9031,"Education and Childcare Administrators, Preschool and Daycare",1372,27.30,22.52,26.44,29.34,56790.00
22,2022,000053,Washington,11-9032,"Education Administrators, Kindergarten through Secondary",5431,,,,,131930.00
23,2022,000053,Washington,11-9033,"Education Administrators, Postsecondary",2355,65.66,38.63,47.98,77.09,136570.00
24,2022,000053,Washington,11-9039,"Education Administrators, All Other",927,41.25,23.41,36.98,53.38,85800.00
25,2022,000053,Washington,11-9041,Architectural and Engineering Managers,4767,79.55,63.37,78.48,92.56,165470.00
26,2022,000053,Washington,11-9051,Food Service Managers,2455,41.40,28.79,38.54,47.35,86100.00
27,2022,000053,Washington,11-9071,Gambling Managers,129,43.88,33.14,38.41,48.11,91270.00
28,2022,000053,Washington,11-9072,"Entertainment and Recreation Managers, Except Gambling",260,48.51,34.17,48.83,61.42,100900.00
29,2022,000053,Washington,11-9081,Lodging Managers,1014,33.77,22.57,28.99,38.07,70240.00
30,2022,000053,Washington,11-9111,Medical and Health Services Managers,5547,66.62,47.28,60.50,78.26,138580.00
31,2022,000053,Washington,11-9121,Natural Sciences Managers,2049,83.00,60.54,75.94,,172640.00
32,2022,000053,Washington,11-9131,Postmasters and Mail Superintendents,259,38.82,35.06,37.54,42.92,80750.00
33,2022,000053,Washington,11-9141,"Property, Real Estate, and Community Association Managers",2416,49.31,34.65,45.03,59.98,102570.00
34,2022,000053,Washington,11-9151,Social and Community Service Managers,4775,40.54,36.71,36.83,45.57,84320.00
35,2022,000053,Washington,11-9161,Emergency Management Directors,126,53.87,43.42,48.78,60.76,112050.00
36,2022,000053,Washington,11-9171,Funeral Home Managers,25,52.52,36.98,41.16,71.95,109250.00
37,2022,000053,Washington,11-9179,"Personal Service Managers, All Other",42,32.46,22.71,29.13,42.88,67510.00
38,2022,000053,Washington,11-9199,"Managers, All Other",11364,70.29,48.42,61.99,81.14,146200.00
39,2022,000053,Washington,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",202,49.46,29.85,35.45,57.33,102870.00
40,2022,000053,Washington,13-1020,Buyers and Purchasing Agents,15228,37.52,28.86,36.39,46.18,78040.00
41,2022,000053,Washington,13-1031,"Claims Adjusters, Examiners, and Investigators",4953,37.22,29.45,37.42,43.53,77420.00
42,2022,000053,Washington,13-1032,"Insurance Appraisers, Auto Damage",268,37.19,29.57,37.13,47.35,77340.00
43,2022,000053,Washington,13-1041,Compliance Officers,8521,38.75,29.49,37.13,47.61,80600.00
44,2022,000053,Washington,13-1051,Cost Estimators,5963,38.67,28.92,37.02,47.44,80440.00
45,2022,000053,Washington,13-1071,Human Resources Specialists,20703,40.36,29.02,37.25,48.29,83940.00
46,2022,000053,Washington,13-1075,Labor Relations Specialists,2155,43.39,30.13,40.75,49.44,90240.00
47,2022,000053,Washington,13-1081,Logisticians,4213,43.94,36.80,44.23,48.96,91390.00
48,2022,000053,Washington,13-1082,Project Management Specialists,17067,58.08,39.19,59.03,74.47,120800.00
49,2022,000053,Washington,13-1111,Management Analysts,22485,55.16,38.49,49.56,63.64,114730.00
50,2022,000053,Washington,13-1121,"Meeting, Convention, and Event Planners",2760,34.04,22.92,29.09,38.38,70810.00
51,2022,000053,Washington,13-1131,Fundraisers,2850,32.41,23.76,29.88,37.90,67420.00
52,2022,000053,Washington,13-1141,"Compensation, Benefits, and Job Analysis Specialists",2039,42.31,30.30,38.22,48.92,88000.00
53,2022,000053,Washington,13-1151,Training and Development Specialists,6276,39.02,29.01,37.13,48.32,81170.00
54,2022,000053,Washington,13-1161,Market Research Analysts and Marketing Specialists,23476,44.81,28.63,38.30,61.21,93210.00
55,2022,000053,Washington,13-1199,"Business Operations Specialists, All Other",40719,40.43,29.13,37.35,48.26,84080.00
56,2022,000053,Washington,13-2011,Accountants and Auditors,31367,42.01,30.42,38.31,48.60,87370.00
57,2022,000053,Washington,13-2020,Property Appraisers and Assessors,948,41.54,29.74,37.82,48.44,86410.00
58,2022,000053,Washington,13-2031,Budget Analysts,775,41.69,36.31,39.28,49.17,86720.00
59,2022,000053,Washington,13-2041,Credit Analysts,1649,41.42,29.36,36.98,48.92,86160.00
60,2022,000053,Washington,13-2051,Financial and Investment Analysts,6486,49.88,36.43,47.76,64.14,103760.00
61,2022,000053,Washington,13-2052,Personal Financial Advisors,5016,69.66,36.76,56.42,,144890.00
62,2022,000053,Washington,13-2053,Insurance Underwriters,1456,44.80,30.25,38.92,58.18,93180.00
63,2022,000053,Washington,13-2054,Financial Risk Specialists,514,45.71,36.92,40.23,50.31,95080.00
64,2022,000053,Washington,13-2061,Financial Examiners,426,47.44,36.08,47.64,53.19,98680.00
65,2022,000053,Washington,13-2071,Credit Counselors,307,25.24,22.25,24.99,28.86,52490.00
66,2022,000053,Washington,13-2072,Loan Officers,8416,39.62,22.85,30.06,48.40,82400.00
67,2022,000053,Washington,13-2082,Tax Preparers,1902,26.73,18.54,23.35,30.38,55610.00
68,2022,000053,Washington,13-2099,"Financial Specialists, All Other",,38.43,27.48,34.04,46.43,79930.00
69,2022,000053,Washington,15-1211,Computer Systems Analysts,14319,53.87,44.33,49.49,62.29,112050.00
70,2022,000053,Washington,15-1212,Information Security Analysts,4005,59.40,46.52,61.24,72.96,123550.00
71,2022,000053,Washington,15-1221,Computer and Information Research Scientists,2357,65.75,49.56,73.53,73.53,136770.00
72,2022,000053,Washington,15-1231,Computer Network Support Specialists,3274,42.83,30.24,38.26,49.08,89090.00
73,2022,000053,Washington,15-1232,Computer User Support Specialists,17843,30.77,23.21,29.37,36.98,64010.00
74,2022,000053,Washington,15-1241,Computer Network Architects,3446,62.17,48.54,61.62,77.75,129320.00
75,2022,000053,Washington,15-1242,Database Administrators,2313,52.64,38.55,49.33,62.73,109490.00
76,2022,000053,Washington,15-1243,Database Architects,1858,72.32,63.01,79.25,80.04,150430.00
77,2022,000053,Washington,15-1244,Network and Computer Systems Administrators,7902,46.39,37.46,47.04,51.81,96490.00
78,2022,000053,Washington,15-1251,Computer Programmers,3851,88.27,56.10,80.73,,183610.00
79,2022,000053,Washington,15-1252,Software Developers,81521,69.78,60.93,73.06,77.81,145150.00
80,2022,000053,Washington,15-1253,Software Quality Assurance Analysts and Testers,10241,50.43,37.46,48.73,62.29,104900.00
81,2022,000053,Washington,15-1254,Web Developers,2806,49.00,33.71,47.61,61.69,101920.00
82,2022,000053,Washington,15-1255,Web and Digital Interface Designers,14722,67.87,48.47,72.14,90.98,141170.00
83,2022,000053,Washington,15-1299,"Computer Occupations, All Other",13133,46.75,29.18,47.14,61.76,97250.00
84,2022,000053,Washington,15-2011,Actuaries,212,57.56,45.27,49.57,69.68,119720.00
85,2022,000053,Washington,15-2031,Operations Research Analysts,1830,47.33,37.37,41.59,49.21,98440.00
86,2022,000053,Washington,15-2041,Statisticians,1460,47.80,37.53,45.80,56.44,99430.00
87,2022,000053,Washington,15-2051,Data Scientists,2463,64.38,48.73,62.29,78.33,133900.00
88,2022,000053,Washington,15-2099,"Mathematical Science Occupations, All Other",,34.25,23.51,30.03,45.49,71250.00
89,2022,000053,Washington,17-1011,"Architects, Except Landscape and Naval",4179,43.74,36.13,39.20,48.28,90990.00
90,2022,000053,Washington,17-1012,Landscape Architects,505,36.66,29.24,37.72,38.90,76260.00
91,2022,000053,Washington,17-1021,Cartographers and Photogrammetrists,557,40.78,33.69,38.23,47.77,84820.00
92,2022,000053,Washington,17-1022,Surveyors,675,42.06,35.78,38.41,48.40,87490.00
93,2022,000053,Washington,17-2011,Aerospace Engineers,4109,64.41,49.40,63.17,80.84,133970.00
94,2022,000053,Washington,17-2021,Agricultural Engineers,33,38.59,29.68,34.68,44.21,80270.00
95,2022,000053,Washington,17-2031,Bioengineers and Biomedical Engineers,739,52.60,38.15,47.91,61.24,109420.00
96,2022,000053,Washington,17-2041,Chemical Engineers,463,56.52,43.30,50.36,73.03,117560.00
97,2022,000053,Washington,17-2051,Civil Engineers,11609,46.80,37.69,45.95,53.30,97340.00
98,2022,000053,Washington,17-2061,Computer Hardware Engineers,1828,80.28,62.15,73.30,92.44,166980.00
99,2022,000053,Washington,17-2071,Electrical Engineers,8012,57.16,45.95,57.88,63.08,118890.00
100,2022,000053,Washington,17-2072,"Electronics Engineers, Except Computer",2715,58.34,47.08,58.03,70.87,121340.00
101,2022,000053,Washington,17-2081,Environmental Engineers,1628,52.95,38.44,48.87,62.58,110130.00
102,2022,000053,Washington,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",318,49.73,38.21,48.35,61.11,103450.00
103,2022,000053,Washington,17-2112,Industrial Engineers,6632,54.15,38.26,48.79,62.32,112630.00
104,2022,000053,Washington,17-2121,Marine Engineers and Naval Architects,521,47.81,43.45,48.35,49.91,99440.00
105,2022,000053,Washington,17-2131,Materials Engineers,746,63.51,49.09,62.79,80.37,132110.00
106,2022,000053,Washington,17-2141,Mechanical Engineers,8228,48.66,37.57,47.61,59.13,101200.00
107,2022,000053,Washington,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,45.34,34.04,43.46,54.63,94300.00
108,2022,000053,Washington,17-2161,Nuclear Engineers,,52.60,43.53,50.33,58.00,109410.00
109,2022,000053,Washington,17-2171,Petroleum Engineers,67,57.01,47.35,58.29,63.77,118590.00
110,2022,000053,Washington,17-2199,"Engineers, All Other",2943,52.37,37.54,49.09,62.79,108920.00
111,2022,000053,Washington,17-3011,Architectural and Civil Drafters,2064,30.62,23.52,29.41,35.94,63690.00
112,2022,000053,Washington,17-3012,Electrical and Electronics Drafters,197,35.56,24.86,34.46,40.50,73970.00
113,2022,000053,Washington,17-3013,Mechanical Drafters,1348,30.70,23.21,29.14,36.68,63860.00
114,2022,000053,Washington,17-3019,"Drafters, All Other",505,35.21,23.01,29.44,47.35,73240.00
115,2022,000053,Washington,17-3021,Aerospace Engineering and Operations Technologists and Technicians,257,44.78,38.26,48.79,48.79,93130.00
116,2022,000053,Washington,17-3022,Civil Engineering Technologists and Technicians,1530,33.86,29.02,34.97,37.67,70430.00
117,2022,000053,Washington,17-3023,Electrical and Electronic Engineering Technologists and Technicians,2297,35.95,29.30,35.78,41.99,74780.00
118,2022,000053,Washington,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,203,35.89,29.07,36.61,48.10,74640.00
119,2022,000053,Washington,17-3025,Environmental Engineering Technologists and Technicians,363,32.90,23.45,34.23,37.63,68430.00
120,2022,000053,Washington,17-3026,Industrial Engineering Technologists and Technicians,874,33.35,23.32,29.82,38.02,69370.00
121,2022,000053,Washington,17-3027,Mechanical Engineering Technologists and Technicians,724,33.42,26.60,30.01,37.20,69500.00
122,2022,000053,Washington,17-3028,Calibration Technologists and Technicians,94,,,,,
123,2022,000053,Washington,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",2416,38.60,29.33,37.53,47.35,80290.00
124,2022,000053,Washington,17-3031,Surveying and Mapping Technicians,1090,26.91,22.51,26.91,29.58,55960.00
125,2022,000053,Washington,19-1011,Animal Scientists,172,32.55,27.08,34.62,34.62,67700.00
126,2022,000053,Washington,19-1012,Food Scientists and Technologists,150,31.57,26.31,30.15,36.40,65670.00
127,2022,000053,Washington,19-1013,Soil and Plant Scientists,932,32.63,25.17,29.63,37.77,67860.00
128,2022,000053,Washington,19-1021,Biochemists and Biophysicists,333,42.55,27.27,37.82,49.16,88500.00
129,2022,000053,Washington,19-1022,Microbiologists,490,35.06,24.21,32.47,44.23,72930.00
130,2022,000053,Washington,19-1023,Zoologists and Wildlife Biologists,1939,39.09,30.16,37.14,43.53,81310.00
131,2022,000053,Washington,19-1029,"Biological Scientists, All Other",1237,44.10,30.14,39.05,48.97,91720.00
132,2022,000053,Washington,19-1031,Conservation Scientists,983,36.08,29.43,34.69,39.58,75040.00
133,2022,000053,Washington,19-1032,Foresters,567,40.00,33.30,37.98,47.39,83190.00
134,2022,000053,Washington,19-1041,Epidemiologists,567,63.09,39.58,50.05,73.04,131220.00
135,2022,000053,Washington,19-1042,"Medical Scientists, Except Epidemiologists",4949,51.44,31.28,47.91,62.64,107000.00
136,2022,000053,Washington,19-1099,"Life Scientists, All Other",250,43.54,33.57,44.77,50.28,90550.00
137,2022,000053,Washington,19-2012,Physicists,575,59.05,41.15,53.35,73.29,122810.00
138,2022,000053,Washington,19-2021,Atmospheric and Space Scientists,129,47.34,35.81,45.22,53.38,98460.00
139,2022,000053,Washington,19-2031,Chemists,1568,44.60,29.86,40.57,56.98,92770.00
140,2022,000053,Washington,19-2032,Materials Scientists,404,54.82,38.37,49.00,62.67,114030.00
141,2022,000053,Washington,19-2041,"Environmental Scientists and Specialists, Including Health",3406,41.59,30.98,38.01,48.70,86510.00
142,2022,000053,Washington,19-2042,"Geoscientists, Except Hydrologists and Geographers",694,46.78,30.21,45.22,57.30,97310.00
143,2022,000053,Washington,19-2043,Hydrologists,239,48.16,39.77,45.90,50.66,100160.00
144,2022,000053,Washington,19-2099,"Physical Scientists, All Other",331,59.51,48.43,57.58,66.90,123790.00
145,2022,000053,Washington,19-3011,Economists,419,51.19,39.77,49.62,58.23,106460.00
146,2022,000053,Washington,19-3022,Survey Researchers,288,33.00,22.79,29.13,37.13,68650.00
147,2022,000053,Washington,19-3033,Clinical and Counseling Psychologists,971,49.61,37.55,46.70,60.72,103190.00
148,2022,000053,Washington,19-3034,School Psychologists,1263,46.05,38.22,47.11,48.84,95780.00
149,2022,000053,Washington,19-3039,"Psychologists, All Other",396,50.79,46.25,53.38,59.85,105640.00
150,2022,000053,Washington,19-3041,Sociologists,,33.41,29.83,29.94,37.61,69490.00
151,2022,000053,Washington,19-3051,Urban and Regional Planners,2250,44.51,38.27,45.87,50.54,92580.00
152,2022,000053,Washington,19-3091,Anthropologists and Archeologists,195,36.91,29.13,37.13,42.17,76770.00
153,2022,000053,Washington,19-3093,Historians,29,38.90,29.36,37.38,47.61,80910.00
154,2022,000053,Washington,19-3094,Political Scientists,223,53.00,36.47,57.58,64.61,110240.00
155,2022,000053,Washington,19-3099,"Social Scientists and Related Workers, All Other",710,47.08,34.19,43.53,57.30,97930.00
156,2022,000053,Washington,19-4012,Agricultural Technicians,941,22.69,18.15,21.04,26.85,47190.00
157,2022,000053,Washington,19-4013,Food Science Technicians,520,22.54,18.20,21.03,25.68,46880.00
158,2022,000053,Washington,19-4021,Biological Technicians,4292,25.43,21.35,23.83,29.63,52880.00
159,2022,000053,Washington,19-4031,Chemical Technicians,1246,26.72,21.80,26.17,29.34,55580.00
160,2022,000053,Washington,19-4042,"Environmental Science and Protection Technicians, Including Health",,31.75,23.50,29.18,44.30,66030.00
161,2022,000053,Washington,19-4043,"Geological Technicians, Except Hydrologic Technicians",,24.88,23.14,23.71,25.75,51740.00
162,2022,000053,Washington,19-4061,Social Science Research Assistants,514,23.73,20.94,21.17,27.02,49360.00
163,2022,000053,Washington,19-4071,Forest and Conservation Technicians,1070,20.39,15.15,18.57,23.80,42420.00
164,2022,000053,Washington,19-4092,Forensic Science Technicians,290,35.20,29.59,36.11,39.78,73210.00
165,2022,000053,Washington,19-4099,"Life, Physical, and Social Science Technicians, All Other",1221,31.24,23.77,29.89,37.45,64990.00
166,2022,000053,Washington,19-5011,Occupational Health and Safety Specialists,2822,45.08,37.24,41.56,50.73,93770.00
167,2022,000053,Washington,19-5012,Occupational Health and Safety Technicians,461,37.27,28.41,37.64,45.08,77520.00
168,2022,000053,Washington,21-1012,"Educational, Guidance, and Career Counselors and Advisors",5642,36.14,27.84,36.43,46.58,75160.00
169,2022,000053,Washington,21-1013,Marriage and Family Therapists,399,23.66,18.84,22.66,27.08,49220.00
170,2022,000053,Washington,21-1015,Rehabilitation Counselors,4476,24.81,19.00,22.78,28.52,51600.00
171,2022,000053,Washington,21-1018,"Substance abuse, behavioral disorder, and mental health counselors",12390,27.16,21.74,23.73,30.23,56500.00
172,2022,000053,Washington,21-1019,"Counselors, All Other",162,28.22,18.73,28.86,36.65,58710.00
